EEE-343,Csekk,delivered,"€87,37",858.98
HHH-676,--,delivered,"€637,65",482.97
STT-101,Készpénz,failed,"€914,82",58.44
STU-202,--,failed,"€280,00",155.11
FGF-606,--,delivered,"€214,21",419.59
NON-505,Csekk,failed,"€657,07",1032.88
LMM-313,kártya,failed,"€3,47",1575.94
WXX-545,Készpénz,failed,"€406,20",1003.23
DED-484,--,delivered,"€754,93",822.3
RRR-797,--,delivered,"€290,70",834.11
HIJ-890,Készpénz,delivered,"€253,82",797.65
NON-505,Készpénz,delivered,"€971,38",118.32
DED-484,Készpénz,delivered,"€580,41",804.33
UUU-141,--,failed,"€411,95",1266.51
NNN-353,kártya,failed,"€758,11",1155.54
WXW-515,Csekk,delivered,"€874,28",1871.82
PPP-575,Készpénz,failed,"€186,71",1237.1
BCB-262,Csekk,failed,"€928,07",520.1
FGH-678,Csekk,failed,"€890,52",706.89
OOO-464,Készpénz,failed,"€559,31",1378.68
EFF-525,Készpénz,delivered,"€567,52",1581.31
STS-171,--,delivered,"€532,64",910.01
VWX-505,kártya,failed,"€378,11",1113.98
III-787,kártya,delivered,"€431,31",1917.0
QRS-990,--,delivered,"€540,66",179.49
EFE-595,Készpénz,failed,"€596,62",1448.67
BCD-234,--,failed,"€957,10",1740.57
HIJ-890,Csekk,failed,"€382,09",310.03
BCD-234,kártya,failed,"€225,53",1059.65
PPP-575,Készpénz,delivered,"€572,46",1906.02
EFF-525,kártya,delivered,"€570,78",90.43
ZZZ-696,--,delivered,"€804,02",675.98
CDE-345,Csekk,delivered,"€700,53",1803.95
HHH-676,kártya,failed,"€836,49",486.31
ZAZ-848,Csekk,failed,"€664,42",755.02
UUU-141,kártya,failed,"€28,37",161.03
TUT-282,--,failed,"€871,82",1308.18
JKL-223,Készpénz,delivered,"€943,72",1614.7
ABA-151,kártya,delivered,"€914,73",500.77
CDE-345,Készpénz,failed,"€342,43",1847.29
OPO-616,--,delivered,"€810,38",1069.22
RSS-979,Csekk,failed,"€31,67",1202.74
PQR-889,Készpénz,failed,"€405,12",1508.88
FGH-678,Csekk,failed,"€399,61",1900.54
WWW-363,--,failed,"€426,38",1284.18
WXX-545,--,failed,"€119,59",1376.61
LLL-131,--,failed,"€978,04",1810.67
III-787,--,failed,"€843,42",822.27
OPO-616,Készpénz,delivered,"€599,91",1938.61
FGF-606,Készpénz,failed,"€748,03",1749.53
HIH-828,Készpénz,delivered,"€839,32",930.14
WXW-515,kártya,delivered,"€907,24",1318.3
BCB-262,Csekk,failed,"€601,46",80.98
FGF-606,Készpénz,failed,"€310,42",1048.39
MNM-494,--,delivered,"€738,40",1449.96
GHI-789,--,delivered,"€308,37",1854.07
JJJ-898,Készpénz,delivered,"€110,83",1053.3
BCB-262,Csekk,failed,"€339,39",705.54
HHH-676,Csekk,failed,"€817,20",1528.7
ABC-123,--,failed,"€499,69",918.23
LLL-131,--,delivered,"€26,22",580.92
RSR-949,kártya,failed,"€462,09",562.96
GHH-747,--,delivered,"€336,61",1279.34
KKK-909,--,failed,"€45,77",1517.32
NOP-667,Csekk,delivered,"€942,86",1852.92
CDC-373,Készpénz,delivered,"€724,27",861.77
RSR-949,kártya,failed,"€482,99",1848.81
CCC-121,Készpénz,failed,"€788,28",756.29
QRS-990,kártya,failed,"€863,09",843.11
XYX-626,kártya,delivered,"€394,21",977.63
HIH-828,Csekk,failed,"€468,56",1316.32
IJJ-969,kártya,delivered,"€217,02",951.57
OPP-646,--,failed,"€456,87",1049.3
OPO-616,Készpénz,delivered,"€101,43",1937.56
ABC-123,Csekk,failed,"€866,80",1304.27
YYY-585,Csekk,failed,"€40,51",140.15
EFF-525,Készpénz,failed,"€469,91",316.29
PQR-889,kártya,delivered,"€810,18",134.73
JKK-191,--,delivered,"€60,67",1718.69
PQQ-757,--,delivered,"€821,86",1944.19
PQQ-757,--,delivered,"€406,76",1047.71
PPP-575,Csekk,failed,"€198,07",89.01
HII-858,kártya,failed,"€703,13",458.68
HIH-828,Készpénz,failed,"€697,73",1101.41
DED-484,Csekk,failed,"€771,58",1838.91
KLL-202,Készpénz,failed,"€87,07",1734.09
AAA-808,--,failed,"€576,45",1000.48
ABC-123,kártya,failed,"€955,79",1449.68
STS-171,Csekk,delivered,"€3,90",1709.44
ZZZ-696,Készpénz,delivered,"€955,95",45.55
PPP-575,Csekk,delivered,"€631,92",1657.71
VWW-434,kártya,failed,"€5,33",1868.4
NOO-535,Csekk,delivered,"€357,86",1334.42
XYZ-707,Csekk,failed,"€682,22",1959.36
GGG-565,--,delivered,"€818,64",1475.54
MNO-556,--,failed,"€7,58",290.97
KLM-334,--,failed,"€231,32",1886.25
XYY-656,Csekk,failed,"€664,61",810.67
CDC-373,kártya,failed,"€847,28",957.76
GHG-717,Készpénz,failed,"€34,55",999.44
